year,sex,age_group,flow,n
1987,male,0 - 14,outward,1400
1988,male,0 - 14,outward,4300
1989,male,0 - 14,outward,4100
1990,male,0 - 14,outward,3600
1991,male,0 - 14,outward,2300
1992,male,0 - 14,outward,300
1993,male,0 - 14,outward,600
1994,male,0 - 14,outward,600
1995,male,0 - 14,outward,600
1996,male,0 - 14,outward,400
1997,male,0 - 14,outward,100
1998,male,0 - 14,outward,400
1999,male,0 - 14,outward,0
2000,male,0 - 14,outward,0
2001,male,0 - 14,outward,0
2002,male,0 - 14,outward,1200
2003,male,0 - 14,outward,700
2004,male,0 - 14,outward,600
2005,male,0 - 14,outward,1100
2006,male,0 - 14,outward,1100
2007,male,0 - 14,outward,600
2008,male,0 - 14,outward,800
2009,male,0 - 14,outward,1100
2010,male,0 - 14,outward,1000
2011,male,0 - 14,outward,2500
2012,male,0 - 14,outward,4600
2013,male,0 - 14,outward,5800
2014,male,0 - 14,outward,4500
2015,male,0 - 14,outward,6000
2016,male,0 - 14,outward,4700
2017,male,0 - 14,outward,4200
2018,male,0 - 14,outward,2800
1987,male,0 - 14,inward,1300
1988,male,0 - 14,inward,1500
1989,male,0 - 14,inward,2300
1990,male,0 - 14,inward,2700
1991,male,0 - 14,inward,2700
1992,male,0 - 14,inward,3400
1993,male,0 - 14,inward,2900
1994,male,0 - 14,inward,2400
1995,male,0 - 14,inward,2600
1996,male,0 - 14,inward,3100
1997,male,0 - 14,inward,2900
1998,male,0 - 14,inward,3400
1999,male,0 - 14,inward,3600
2000,male,0 - 14,inward,3600
2001,male,0 - 14,inward,4100
2002,male,0 - 14,inward,3200
2003,male,0 - 14,inward,3600
2004,male,0 - 14,inward,3500
2005,male,0 - 14,inward,4200
2006,male,0 - 14,inward,5500
2007,male,0 - 14,inward,5300
2008,male,0 - 14,inward,6600
2009,male,0 - 14,inward,2200
2010,male,0 - 14,inward,1400
2011,male,0 - 14,inward,3100
2012,male,0 - 14,inward,2800
2013,male,0 - 14,inward,3500
2014,male,0 - 14,inward,2600
2015,male,0 - 14,inward,5100
2016,male,0 - 14,inward,5000
2017,male,0 - 14,inward,4100
2018,male,0 - 14,inward,5400
1987,female,0 - 14,outward,1300
1988,female,0 - 14,outward,4000
1989,female,0 - 14,outward,3700
1990,female,0 - 14,outward,3100
1991,female,0 - 14,outward,2300
1992,female,0 - 14,outward,400
1993,female,0 - 14,outward,500
1994,female,0 - 14,outward,700
1995,female,0 - 14,outward,600
1996,female,0 - 14,outward,600
1997,female,0 - 14,outward,200
1998,female,0 - 14,outward,1200
1999,female,0 - 14,outward,0
2000,female,0 - 14,outward,0
2001,female,0 - 14,outward,0
2002,female,0 - 14,outward,1200
2003,female,0 - 14,outward,200
2004,female,0 - 14,outward,900
2005,female,0 - 14,outward,1100
2006,female,0 - 14,outward,1100
2007,female,0 - 14,outward,800
2008,female,0 - 14,outward,800
2009,female,0 - 14,outward,1300
2010,female,0 - 14,outward,1100
2011,female,0 - 14,outward,2700
2012,female,0 - 14,outward,5000
2013,female,0 - 14,outward,5200
2014,female,0 - 14,outward,5700
2015,female,0 - 14,outward,5500
2016,female,0 - 14,outward,5500
2017,female,0 - 14,outward,4000
2018,female,0 - 14,outward,3500
1987,female,0 - 14,inward,1800
1988,female,0 - 14,inward,1500
1989,female,0 - 14,inward,2100
1990,female,0 - 14,inward,2500
1991,female,0 - 14,inward,2600
1992,female,0 - 14,inward,2800
1993,female,0 - 14,inward,2600
1994,female,0 - 14,inward,2000
1995,female,0 - 14,inward,2700
1996,female,0 - 14,inward,3600
1997,female,0 - 14,inward,3500
1998,female,0 - 14,inward,4100
1999,female,0 - 14,inward,3400
2000,female,0 - 14,inward,3600
2001,female,0 - 14,inward,3800
2002,female,0 - 14,inward,3800
2003,female,0 - 14,inward,3700
2004,female,0 - 14,inward,2700
2005,female,0 - 14,inward,3800
2006,female,0 - 14,inward,6000
2007,female,0 - 14,inward,6100
2008,female,0 - 14,inward,7300
2009,female,0 - 14,inward,2300
2010,female,0 - 14,inward,500
2011,female,0 - 14,inward,3000
2012,female,0 - 14,inward,3900
2013,female,0 - 14,inward,4100
2014,female,0 - 14,inward,3900
2015,female,0 - 14,inward,4700
2016,female,0 - 14,inward,4900
2017,female,0 - 14,inward,4700
2018,female,0 - 14,inward,5100
1987,male,15 - 24,outward,12300
1988,male,15 - 24,outward,17000
1989,male,15 - 24,outward,19200
1990,male,15 - 24,outward,14300
1991,male,15 - 24,outward,9500
1992,male,15 - 24,outward,10800
1993,male,15 - 24,outward,10900
1994,male,15 - 24,outward,11600
1995,male,15 - 24,outward,11800
1996,male,15 - 24,outward,9800
1997,male,15 - 24,outward,9000
1998,male,15 - 24,outward,10100
1999,male,15 - 24,outward,10400
2000,male,15 - 24,outward,10200
2001,male,15 - 24,outward,9900
2002,male,15 - 24,outward,9000
2003,male,15 - 24,outward,9300
2004,male,15 - 24,outward,6300
2005,male,15 - 24,outward,6700
2006,male,15 - 24,outward,8000
2007,male,15 - 24,outward,8900
2008,male,15 - 24,outward,9700
2009,male,15 - 24,outward,17100
2010,male,15 - 24,outward,13700
2011,male,15 - 24,outward,15900
2012,male,15 - 24,outward,13600
2013,male,15 - 24,outward,12000
2014,male,15 - 24,outward,10900
2015,male,15 - 24,outward,6500
2016,male,15 - 24,outward,9500
2017,male,15 - 24,outward,7900
2018,male,15 - 24,outward,5500
1987,male,15 - 24,inward,1900
1988,male,15 - 24,inward,2400
1989,male,15 - 24,inward,3700
1990,male,15 - 24,inward,4700
1991,male,15 - 24,inward,4500
1992,male,15 - 24,inward,6000
1993,male,15 - 24,inward,4200
1994,male,15 - 24,inward,4000
1995,male,15 - 24,inward,3200
1996,male,15 - 24,inward,4200
1997,male,15 - 24,inward,5900
1998,male,15 - 24,inward,5100
1999,male,15 - 24,inward,6100
2000,male,15 - 24,inward,6800
2001,male,15 - 24,inward,6600
2002,male,15 - 24,inward,8000
2003,male,15 - 24,inward,7800
2004,male,15 - 24,inward,8100
2005,male,15 - 24,inward,11600
2006,male,15 - 24,inward,16400
2007,male,15 - 24,inward,28900
2008,male,15 - 24,inward,23300
2009,male,15 - 24,inward,18600
2010,male,15 - 24,inward,7600
2011,male,15 - 24,inward,6400
2012,male,15 - 24,inward,7600
2013,male,15 - 24,inward,10300
2014,male,15 - 24,inward,10300
2015,male,15 - 24,inward,7400
2016,male,15 - 24,inward,8000
2017,male,15 - 24,inward,8600
2018,male,15 - 24,inward,11400
1987,female,15 - 24,outward,11700
1988,female,15 - 24,outward,14300
1989,female,15 - 24,outward,17800
1990,female,15 - 24,outward,16500
1991,female,15 - 24,outward,10400
1992,female,15 - 24,outward,11700
1993,female,15 - 24,outward,12700
1994,female,15 - 24,outward,13000
1995,female,15 - 24,outward,10800
1996,female,15 - 24,outward,11700
1997,female,15 - 24,outward,10400
1998,female,15 - 24,outward,10900
1999,female,15 - 24,outward,12700
2000,female,15 - 24,outward,11200
2001,female,15 - 24,outward,11300
2002,female,15 - 24,outward,9800
2003,female,15 - 24,outward,7700
2004,female,15 - 24,outward,7800
2005,female,15 - 24,outward,7600
2006,female,15 - 24,outward,7900
2007,female,15 - 24,outward,9300
2008,female,15 - 24,outward,8100
2009,female,15 - 24,outward,10800
2010,female,15 - 24,outward,13000
2011,female,15 - 24,outward,18600
2012,female,15 - 24,outward,12400
2013,female,15 - 24,outward,11900
2014,female,15 - 24,outward,10900
2015,female,15 - 24,outward,10700
2016,female,15 - 24,outward,8800
2017,female,15 - 24,outward,8300
2018,female,15 - 24,outward,6900
1987,female,15 - 24,inward,3200
1988,female,15 - 24,inward,3000
1989,female,15 - 24,inward,4000
1990,female,15 - 24,inward,5400
1991,female,15 - 24,inward,4800
1992,female,15 - 24,inward,6500
1993,female,15 - 24,inward,6000
1994,female,15 - 24,inward,5700
1995,female,15 - 24,inward,4800
1996,female,15 - 24,inward,6700
1997,female,15 - 24,inward,7800
1998,female,15 - 24,inward,7300
1999,female,15 - 24,inward,9200
2000,female,15 - 24,inward,10100
2001,female,15 - 24,inward,9800
2002,female,15 - 24,inward,11800
2003,female,15 - 24,inward,9800
2004,female,15 - 24,inward,10600
2005,female,15 - 24,inward,12700
2006,female,15 - 24,inward,15200
2007,female,15 - 24,inward,32500
2008,female,15 - 24,inward,26700
2009,female,15 - 24,inward,18600
2010,female,15 - 24,inward,9700
2011,female,15 - 24,inward,8200
2012,female,15 - 24,inward,9300
2013,female,15 - 24,inward,9700
2014,female,15 - 24,inward,11500
2015,female,15 - 24,inward,11000
2016,female,15 - 24,inward,10200
2017,female,15 - 24,inward,10000
2018,female,15 - 24,inward,12700
1987,male,25 - 44,outward,6900
1988,male,25 - 44,outward,11000
1989,male,25 - 44,outward,13700
1990,male,25 - 44,outward,9700
1991,male,25 - 44,outward,5800
1992,male,25 - 44,outward,5800
1993,male,25 - 44,outward,5700
1994,male,25 - 44,outward,5300
1995,male,25 - 44,outward,5500
1996,male,25 - 44,outward,5100
1997,male,25 - 44,outward,3400
1998,male,25 - 44,outward,3200
1999,male,25 - 44,outward,4600
2000,male,25 - 44,outward,2600
2001,male,25 - 44,outward,2400
2002,male,25 - 44,outward,1700
2003,male,25 - 44,outward,5700
2004,male,25 - 44,outward,5300
2005,male,25 - 44,outward,6100
2006,male,25 - 44,outward,7600
2007,male,25 - 44,outward,12800
2008,male,25 - 44,outward,14900
2009,male,25 - 44,outward,22000
2010,male,25 - 44,outward,23000
2011,male,25 - 44,outward,17900
2012,male,25 - 44,outward,22700
2013,male,25 - 44,outward,19200
2014,male,25 - 44,outward,20300
2015,male,25 - 44,outward,19600
2016,male,25 - 44,outward,13900
2017,male,25 - 44,outward,18200
2018,male,25 - 44,outward,13700
1987,male,25 - 44,inward,3400
1988,male,25 - 44,inward,4000
1989,male,25 - 44,inward,5800
1990,male,25 - 44,inward,8000
1991,male,25 - 44,inward,8000
1992,male,25 - 44,inward,9300
1993,male,25 - 44,inward,7800
1994,male,25 - 44,inward,6300
1995,male,25 - 44,inward,7500
1996,male,25 - 44,inward,8700
1997,male,25 - 44,inward,9600
1998,male,25 - 44,inward,11100
1999,male,25 - 44,inward,11700
2000,male,25 - 44,inward,12700
2001,male,25 - 44,inward,16300
2002,male,25 - 44,inward,17500
2003,male,25 - 44,inward,16000
2004,male,25 - 44,inward,16300
2005,male,25 - 44,inward,27300
2006,male,25 - 44,inward,34000
2007,male,25 - 44,inward,38100
2008,male,25 - 44,inward,18000
2009,male,25 - 44,inward,13000
2010,male,25 - 44,inward,9900
2011,male,25 - 44,inward,13600
2012,male,25 - 44,inward,13400
2013,male,25 - 44,inward,14600
2014,male,25 - 44,inward,15000
2015,male,25 - 44,inward,19400
2016,male,25 - 44,inward,23100
2017,male,25 - 44,inward,24100
2018,male,25 - 44,inward,21800
1987,female,25 - 44,outward,4900
1988,female,25 - 44,outward,7300
1989,female,25 - 44,outward,8200
1990,female,25 - 44,outward,7200
1991,female,25 - 44,outward,4700
1992,female,25 - 44,outward,3000
1993,female,25 - 44,outward,3400
1994,female,25 - 44,outward,2900
1995,female,25 - 44,outward,2900
1996,female,25 - 44,outward,3000
1997,female,25 - 44,outward,2200
1998,female,25 - 44,outward,2500
1999,female,25 - 44,outward,3000
2000,female,25 - 44,outward,2000
2001,female,25 - 44,outward,2000
2002,female,25 - 44,outward,1400
2003,female,25 - 44,outward,3100
2004,female,25 - 44,outward,3900
2005,female,25 - 44,outward,4500
2006,female,25 - 44,outward,6500
2007,female,25 - 44,outward,8400
2008,female,25 - 44,outward,9100
2009,female,25 - 44,outward,15500
2010,female,25 - 44,outward,13500
2011,female,25 - 44,outward,13300
2012,female,25 - 44,outward,15800
2013,female,25 - 44,outward,17900
2014,female,25 - 44,outward,17100
2015,female,25 - 44,outward,15800
2016,female,25 - 44,outward,17400
2017,female,25 - 44,outward,16400
2018,female,25 - 44,outward,14600
1987,female,25 - 44,inward,2700
1988,female,25 - 44,inward,3200
1989,female,25 - 44,inward,4700
1990,female,25 - 44,inward,5900
1991,female,25 - 44,inward,6500
1992,female,25 - 44,inward,7200
1993,female,25 - 44,inward,6600
1994,female,25 - 44,inward,5800
1995,female,25 - 44,inward,7100
1996,female,25 - 44,inward,8100
1997,female,25 - 44,inward,8600
1998,female,25 - 44,inward,8800
1999,female,25 - 44,inward,9900
2000,female,25 - 44,inward,10700
2001,female,25 - 44,inward,13200
2002,female,25 - 44,inward,17700
2003,female,25 - 44,inward,12700
2004,female,25 - 44,inward,12500
2005,female,25 - 44,inward,17500
2006,female,25 - 44,inward,23200
2007,female,25 - 44,inward,27700
2008,female,25 - 44,inward,20700
2009,female,25 - 44,inward,13400
2010,female,25 - 44,inward,8800
2011,female,25 - 44,inward,13300
2012,female,25 - 44,inward,13000
2013,female,25 - 44,inward,13100
2014,female,25 - 44,inward,16600
2015,female,25 - 44,inward,20600
2016,female,25 - 44,inward,21600
2017,female,25 - 44,inward,23000
2018,female,25 - 44,inward,22400
1987,male,45 - 64,outward,1000
1988,male,45 - 64,outward,1600
1989,male,45 - 64,outward,2200
1990,male,45 - 64,outward,1000
1991,male,45 - 64,outward,100
1992,male,45 - 64,outward,500
1993,male,45 - 64,outward,400
1994,male,45 - 64,outward,0
1995,male,45 - 64,outward,300
1996,male,45 - 64,outward,0
1997,male,45 - 64,outward,0
1998,male,45 - 64,outward,200
1999,male,45 - 64,outward,0
2000,male,45 - 64,outward,0
2001,male,45 - 64,outward,0
2002,male,45 - 64,outward,0
2003,male,45 - 64,outward,600
2004,male,45 - 64,outward,400
2005,male,45 - 64,outward,600
2006,male,45 - 64,outward,1200
2007,male,45 - 64,outward,2000
2008,male,45 - 64,outward,2200
2009,male,45 - 64,outward,1200
2010,male,45 - 64,outward,2400
2011,male,45 - 64,outward,3100
2012,male,45 - 64,outward,4100
2013,male,45 - 64,outward,3800
2014,male,45 - 64,outward,1900
2015,male,45 - 64,outward,2900
2016,male,45 - 64,outward,2200
2017,male,45 - 64,outward,3000
2018,male,45 - 64,outward,3700
1987,male,45 - 64,inward,1000
1988,male,45 - 64,inward,1100
1989,male,45 - 64,inward,800
1990,male,45 - 64,inward,1500
1991,male,45 - 64,inward,1400
1992,male,45 - 64,inward,2400
1993,male,45 - 64,inward,2000
1994,male,45 - 64,inward,1600
1995,male,45 - 64,inward,1300
1996,male,45 - 64,inward,2200
1997,male,45 - 64,inward,2700
1998,male,45 - 64,inward,2100
1999,male,45 - 64,inward,2500
2000,male,45 - 64,inward,2600
2001,male,45 - 64,inward,2500
2002,male,45 - 64,inward,2300
2003,male,45 - 64,inward,3400
2004,male,45 - 64,inward,2400
2005,male,45 - 64,inward,3700
2006,male,45 - 64,inward,3700
2007,male,45 - 64,inward,6000
2008,male,45 - 64,inward,4200
2009,male,45 - 64,inward,1600
2010,male,45 - 64,inward,800
2011,male,45 - 64,inward,2200
2012,male,45 - 64,inward,2100
2013,male,45 - 64,inward,2400
2014,male,45 - 64,inward,1400
2015,male,45 - 64,inward,2200
2016,male,45 - 64,inward,4000
2017,male,45 - 64,inward,4700
2018,male,45 - 64,inward,4200
1987,female,45 - 64,outward,700
1988,female,45 - 64,outward,1600
1989,female,45 - 64,outward,1500
1990,female,45 - 64,outward,900
1991,female,45 - 64,outward,300
1992,female,45 - 64,outward,700
1993,female,45 - 64,outward,800
1994,female,45 - 64,outward,600
1995,female,45 - 64,outward,500
1996,female,45 - 64,outward,700
1997,female,45 - 64,outward,0
1998,female,45 - 64,outward,0
1999,female,45 - 64,outward,300
2000,female,45 - 64,outward,100
2001,female,45 - 64,outward,0
2002,female,45 - 64,outward,100
2003,female,45 - 64,outward,700
2004,female,45 - 64,outward,1000
2005,female,45 - 64,outward,800
2006,female,45 - 64,outward,900
2007,female,45 - 64,outward,1100
2008,female,45 - 64,outward,600
2009,female,45 - 64,outward,1800
2010,female,45 - 64,outward,500
2011,female,45 - 64,outward,3100
2012,female,45 - 64,outward,2700
2013,female,45 - 64,outward,3800
2014,female,45 - 64,outward,1400
2015,female,45 - 64,outward,1400
2016,female,45 - 64,outward,2400
2017,female,45 - 64,outward,1400
2018,female,45 - 64,outward,4000
1987,female,45 - 64,inward,800
1988,female,45 - 64,inward,1000
1989,female,45 - 64,inward,1400
1990,female,45 - 64,inward,1200
1991,female,45 - 64,inward,1100
1992,female,45 - 64,inward,1700
1993,female,45 - 64,inward,1600
1994,female,45 - 64,inward,1400
1995,female,45 - 64,inward,1300
1996,female,45 - 64,inward,1300
1997,female,45 - 64,inward,2000
1998,female,45 - 64,inward,2200
1999,female,45 - 64,inward,1600
2000,female,45 - 64,inward,1400
2001,female,45 - 64,inward,1800
2002,female,45 - 64,inward,1900
2003,female,45 - 64,inward,1700
2004,female,45 - 64,inward,1800
2005,female,45 - 64,inward,2500
2006,female,45 - 64,inward,2400
2007,female,45 - 64,inward,4100
2008,female,45 - 64,inward,3000
2009,female,45 - 64,inward,1700
2010,female,45 - 64,inward,1300
2011,female,45 - 64,inward,2100
2012,female,45 - 64,inward,2400
2013,female,45 - 64,inward,2000
2014,female,45 - 64,inward,1800
2015,female,45 - 64,inward,2000
2016,female,45 - 64,inward,3100
2017,female,45 - 64,inward,3100
2018,female,45 - 64,inward,4000
1987,male,65 and over,outward,0
1988,male,65 and over,outward,0
1989,male,65 and over,outward,0
1990,male,65 and over,outward,0
1991,male,65 and over,outward,0
1992,male,65 and over,outward,0
1993,male,65 and over,outward,100
1994,male,65 and over,outward,0
1995,male,65 and over,outward,0
1996,male,65 and over,outward,0
1997,male,65 and over,outward,0
1998,male,65 and over,outward,0
1999,male,65 and over,outward,400
2000,male,65 and over,outward,300
2001,male,65 and over,outward,400
2002,male,65 and over,outward,800
2003,male,65 and over,outward,700
2004,male,65 and over,outward,0
2005,male,65 and over,outward,400
2006,male,65 and over,outward,800
2007,male,65 and over,outward,1500
2008,male,65 and over,outward,2000
2009,male,65 and over,outward,400
2010,male,65 and over,outward,500
2011,male,65 and over,outward,2400
2012,male,65 and over,outward,900
2013,male,65 and over,outward,800
2014,male,65 and over,outward,800
2015,male,65 and over,outward,800
2016,male,65 and over,outward,700
2017,male,65 and over,outward,800
2018,male,65 and over,outward,600
1987,male,65 and over,inward,500
1988,male,65 and over,inward,900
1989,male,65 and over,inward,1000
1990,male,65 and over,inward,800
1991,male,65 and over,inward,900
1992,male,65 and over,inward,800
1993,male,65 and over,inward,500
1994,male,65 and over,inward,400
1995,male,65 and over,inward,200
1996,male,65 and over,inward,600
1997,male,65 and over,inward,800
1998,male,65 and over,inward,900
1999,male,65 and over,inward,600
2000,male,65 and over,inward,600
2001,male,65 and over,inward,500
2002,male,65 and over,inward,300
2003,male,65 and over,inward,700
2004,male,65 and over,inward,300
2005,male,65 and over,inward,600
2006,male,65 and over,inward,700
2007,male,65 and over,inward,1700
2008,male,65 and over,inward,1700
2009,male,65 and over,inward,1400
2010,male,65 and over,inward,700
2011,male,65 and over,inward,700
2012,male,65 and over,inward,1600
2013,male,65 and over,inward,1500
2014,male,65 and over,inward,1600
2015,male,65 and over,inward,1700
2016,male,65 and over,inward,1100
2017,male,65 and over,inward,1100
2018,male,65 and over,inward,1700
1987,female,65 and over,outward,0
1988,female,65 and over,outward,0
1989,female,65 and over,outward,0
1990,female,65 and over,outward,0
1991,female,65 and over,outward,0
1992,female,65 and over,outward,200
1993,female,65 and over,outward,100
1994,female,65 and over,outward,0
1995,female,65 and over,outward,0
1996,female,65 and over,outward,0
1997,female,65 and over,outward,0
1998,female,65 and over,outward,0
1999,female,65 and over,outward,100
2000,female,65 and over,outward,300
2001,female,65 and over,outward,300
2002,female,65 and over,outward,400
2003,female,65 and over,outward,600
2004,female,65 and over,outward,400
2005,female,65 and over,outward,500
2006,female,65 and over,outward,900
2007,female,65 and over,outward,1000
2008,female,65 and over,outward,1000
2009,female,65 and over,outward,800
2010,female,65 and over,outward,600
2011,female,65 and over,outward,1000
2012,female,65 and over,outward,1200
2013,female,65 and over,outward,900
2014,female,65 and over,outward,1500
2015,female,65 and over,outward,700
2016,female,65 and over,outward,1000
2017,female,65 and over,outward,500
2018,female,65 and over,outward,900
1987,female,65 and over,inward,600
1988,female,65 and over,inward,500
1989,female,65 and over,inward,900
1990,female,65 and over,inward,500
1991,female,65 and over,inward,800
1992,female,65 and over,inward,600
1993,female,65 and over,inward,400
1994,female,65 and over,inward,400
1995,female,65 and over,inward,500
1996,female,65 and over,inward,600
1997,female,65 and over,inward,700
1998,female,65 and over,inward,900
1999,female,65 and over,inward,300
2000,female,65 and over,inward,600
2001,female,65 and over,inward,300
2002,female,65 and over,inward,500
2003,female,65 and over,inward,700
2004,female,65 and over,inward,400
2005,female,65 and over,inward,600
2006,female,65 and over,inward,700
2007,female,65 and over,inward,700
2008,female,65 and over,inward,1800
2009,female,65 and over,inward,900
2010,female,65 and over,inward,1100
2011,female,65 and over,inward,700
2012,female,65 and over,inward,1200
2013,female,65 and over,inward,1500
2014,female,65 and over,inward,1800
2015,female,65 and over,inward,1900
2016,female,65 and over,inward,1300
2017,female,65 and over,inward,1200
2018,female,65 and over,inward,1600
